solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy
43.928,0.061,0.204,0.04,0.04,0.204,0.007,0.005
31.888,0.063,0.268,0.058,0.06,0.26,0.01,0.006
125.473,0.332,0.6,0.37,0.39,0.568,0.059,0.013
178.678,1.061,1.661,0.453,0.49,1.534,0.073,0.037
64.869,1.061,2.722,0.477,0.53,2.45,0.076,0.058
-20.486,-0.571,2.151,0.447,0.51,1.887,0.072,0.045
141.476,3.012,5.164,1.547,1.81,4.412,0.245,0.105
89.426,4.559,9.723,2.664,3.2,8.095,0.42,0.193
47.326,4.517,14.24,3.936,4.85,11.557,0.631,0.275
30.758,4.27,18.51,5.201,6.57,14.652,0.822,0.348
20.523,3.668,22.178,6.941,8.99,17.122,1.103,0.408
32.816,7.169,29.347,10.432,13.85,22.104,1.674,0.528
37.33,10.807,40.155,10.583,14.4,29.511,1.783,0.762
17.111,6.699,46.854,12.284,17.12,33.619,2.04,0.835
1.54,0.548,47.402,12.743,18.181,33.224,2.037,0.842
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.035,0.035,,0.012,,0.003,0.001
25.283,0.009,0.044,,0.015,,0.003,0.001
12.298,0.005,0.049,,0.017,,0.003,0.001
19.403,0.009,0.058,,0.02,,0.004,0.002
22.471,0.013,0.071,,0.025,,0.005,0.002
19.606,0.013,0.084,,0.029,,0.005,0.002
29.025,0.024,0.108,,0.038,,0.006,0.003
