solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy
-4.29,-0.181,3.553,188.27,1.34,499.148,2.879,1.624
5.548,0.183,3.736,201.346,1.42,529.728,3.242,1.766
3.629,0.121,3.857,210.626,1.47,552.684,3.655,1.974
-0.144,-0.02,3.838,213.481,1.47,557.318,3.108,1.73
36.612,1.386,5.224,253.614,1.72,770.212,3.401,2.254
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.62,0.01,,1.562,
,,,0.602,0.01,,1.449,
,,,0.584,0.01,,1.149,
,,,0.567,0.01,,1.01,
,,,0.55,0.01,,0.893,
,,,0.534,0.01,,0.699,
,,,1.038,0.02,,1.29,
,,,1.512,0.03,,1.829,
,,,4.904,0.1,,6.061,
,,,4.773,0.1,,5.814,
,,,4.646,0.1,,6.098,
,,,5.43,0.12,,6.857,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.917,0.01,,5.263,
,,,0.896,0.01,,3.448,
,,,0.87,0.01,,3.704,
,,,0.842,0.01,,2.778,
,,,0.818,0.01,,2.857,
,,,0.797,0.01,,2.778,
,,,0.776,0.01,,2.778,
,,0.0,,0.0,,,0.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
3155.932,0.001,0.001,,0.0,,0.0,0.0
659.084,0.004,0.005,,0.002,,0.0,0.0
247.703,0.012,0.017,,0.006,,0.0,0.0
197.327,0.034,0.051,,0.019,,0.001,0.001
841.298,0.429,0.481,,0.177,,0.013,0.005
131.732,0.626,1.107,,0.411,,0.031,0.011
55.798,0.607,1.714,,0.64,,0.047,0.017
22.775,0.378,2.092,,0.786,,0.057,0.02
21.161,0.428,2.52,,0.953,,0.067,0.023
76.85,1.92,4.441,,1.685,,0.118,0.041
101.739,4.485,8.926,,3.399,,0.243,0.085
29.51,2.592,11.518,,4.402,,0.295,0.102
11.123,1.234,12.752,,4.891,,0.326,0.12
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.676,0.01,,0.73,
,,,0.667,0.01,,0.578,
,,,0.657,0.01,,0.334,
,,,1.297,0.02,,0.469,
,,,1.92,0.03,,0.552,
,,,1.895,0.03,,0.443,
,,,2.496,0.04,,0.503,
,,,7.404,0.12,,1.42,
,,,18.906,0.31,,3.669,
,,,22.304,0.37,,4.258,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.448,0.01,,0.15,
,,,0.435,0.01,,0.13,
,,,0.422,0.01,,0.145,
,,,0.82,0.02,,0.255,
,,,0.798,0.02,,0.242,
,,,0.776,0.02,,0.24,
,,,0.755,0.02,,0.241,
,,,0.735,0.02,,0.248,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.006,0.006,0.072,0.002,0.214,0.0,0.0
0.0,0.0,0.006,0.072,0.002,0.212,0.0,0.0
0.0,0.0,0.006,0.071,0.002,0.209,0.0,0.0
87.179,0.005,0.011,0.131,0.004,0.388,0.001,0.0
53.425,0.006,0.017,0.199,0.006,0.589,0.001,0.001
17.857,0.003,0.021,0.232,0.007,0.687,0.001,0.001
45.455,0.009,0.03,0.335,0.01,0.991,0.002,0.001
31.25,0.009,0.039,0.436,0.013,1.29,0.002,0.001
23.81,0.009,0.049,0.652,0.02,1.583,0.003,0.001
19.231,0.009,0.058,0.645,0.02,1.855,0.003,0.002
16.129,0.009,0.066,0.639,0.02,2.119,0.003,0.002
0.231,-0.0,0.066,0.633,0.02,2.09,0.003,0.002
-37.413,-0.025,0.041,0.313,0.01,1.288,0.002,0.001
19.188,0.008,0.049,0.621,0.02,1.511,0.003,0.001
23.529,0.011,0.06,0.615,0.02,1.837,0.003,0.002
23.81,0.014,0.074,0.913,0.03,2.237,0.005,0.002
34.615,0.025,0.098,1.204,0.04,2.961,0.007,0.003
211.429,0.206,0.304,2.977,0.1,9.061,0.017,0.008
134.455,0.405,0.709,7.361,0.25,20.885,0.043,0.019
123.715,0.868,1.577,16.607,0.57,45.95,0.093,0.041
54.064,0.838,2.415,25.078,0.87,69.616,0.142,0.062
70.184,1.67,4.085,42.209,1.48,116.513,0.232,0.102
41.442,1.658,5.744,59.314,2.1,162.234,0.33,0.143
36.541,2.052,7.796,80.32,2.87,218.18,0.449,0.193
39.288,2.999,10.795,110.485,3.99,298.91,0.619,0.271
-11.373,-1.284,9.511,96.842,3.54,260.181,0.549,0.235
6.246,0.535,10.046,101.525,3.76,271.248,0.591,0.246
7.449,0.708,10.754,107.668,4.04,286.607,0.643,0.265
4.917,0.487,11.242,111.907,4.24,296.7,0.679,0.295
20.704,2.278,13.519,133.927,5.11,354.328,0.816,0.352
16.394,2.159,15.678,144.587,5.56,407.714,0.871,0.399
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,18.956,0.01,,2.857,
,,,18.731,0.01,,2.778,
,,,18.52,0.01,,2.564,
,,,18.312,0.01,,2.439,
,,,18.11,0.01,,2.439,
,,,17.908,0.01,,2.326,
,,,17.7,0.01,,2.174,
,,,17.507,0.01,,2.174,
,,,17.33,0.01,,2.174,
,,,17.163,0.01,,2.326,
,,,17.009,0.01,,2.222,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,157.23,0.01,,1.515,
,,,154.074,0.01,,1.538,
,,,302.334,0.02,,2.857,
,,,297.058,0.02,,2.899,
,,,293.44,0.02,,2.74,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.0,0.0,,0.0,,0.0,0.0
,0.002,0.002,,0.001,,0.002,0.001
18.971,0.0,0.002,,0.001,,0.002,0.001
1.541,0.0,0.002,,0.001,,0.002,0.001
0.463,-0.0,0.002,,0.001,,0.002,0.001
11.147,0.0,0.002,,0.001,,0.002,0.001
38.368,0.001,0.003,,0.001,,0.002,0.001
22.687,0.001,0.003,,0.001,,0.003,0.001
64.518,0.002,0.006,,0.002,,0.004,0.002
47.94,0.003,0.008,,0.003,,0.006,0.003
325.77,0.027,0.035,,0.013,,0.026,0.011
4506.964,1.568,1.603,,0.595,,1.152,0.454
97.779,1.548,3.151,,1.177,,2.206,0.855
24.072,0.736,3.887,,1.46,,2.718,1.017
23.209,0.874,4.761,,1.799,,3.185,1.224
23.369,1.091,5.851,,2.22,,3.753,1.432
16.556,0.944,6.795,,2.587,,4.552,1.821
17.562,1.164,7.959,,3.042,,4.966,1.896
-2.552,-0.231,7.728,,2.964,,4.695,1.77
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.001,0.001,0.0,0.0,0.054,0.0,0.0
1884.947,0.017,0.018,0.571,0.01,1.052,0.015,0.004
6689.15,1.224,1.243,26.008,0.46,70.26,0.658,0.303
196.504,2.42,3.663,76.664,1.37,204.963,1.909,0.884
87.506,3.164,6.827,141.563,2.56,377.527,3.49,1.573
52.767,3.541,10.368,212.319,3.9,564.456,5.255,2.302
31.386,3.174,13.543,291.421,5.45,724.154,7.102,2.892
23.082,3.064,16.607,335.093,6.38,872.252,8.244,3.504
20.866,3.392,19.999,395.848,7.64,1036.189,9.826,4.52
41.174,8.131,28.13,553.527,10.79,1443.058,13.238,5.899
34.478,9.561,37.69,740.675,14.52,1922.614,17.448,7.586
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.006,0.006,0.002,0.002,0.005,0.0,0.0
0.0,0.0,0.006,0.002,0.002,0.005,0.0,0.0
50.0,0.003,0.009,0.003,0.003,0.007,0.0,0.0
