gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy
,,,,,,5.536,0.049,4.078,0.928,,
,,,,,,7.878,0.073,4.306,1.001,,
,,,,,,2.423,0.024,4.315,1.025,,
,,,,,,8.272,0.085,4.571,1.11,,
,,,,,,10.925,0.121,4.96,1.231,,
,,,,,,-0.978,-0.012,4.803,1.219,,
,,,,,,10.989,0.134,5.212,1.353,,
,,,,,,-0.853,-0.012,5.053,1.342,,
,,,,,,6.396,0.086,5.259,1.428,,
,,,,,,15.303,0.218,5.928,1.646,,
,,,,,,7.419,0.122,6.22,1.768,,
,,,,,,60.776,1.075,9.763,2.843,,
,,,,,,59.692,1.697,15.217,4.54,,
,,,,,,34.124,1.549,19.914,6.089,,
,,,,,,85.973,5.235,36.123,11.323,,
,,9.572,,,29.778,176.044,19.934,97.241,31.258,,1.336
11.765,1.126,10.698,,,32.452,22.341,6.983,116.002,38.241,,1.426
-1.161,-0.124,10.574,,,31.269,-16.316,-6.24,94.634,32.001,,1.395
1.355,0.143,10.717,,,30.887,39.987,12.796,129.108,44.798,,1.339
16.824,1.803,12.52,,,35.162,-16.113,-7.218,105.54,37.58,,1.522
24.188,3.028,15.549,,,42.546,-19.969,-7.504,82.297,30.076,,1.741
18.373,2.857,18.405,,,49.069,23.1,6.947,98.705,37.023,,1.931
34.041,6.265,24.671,,,64.091,75.931,28.112,169.212,65.135,,2.448
60.319,14.881,39.552,,,100.077,50.952,33.187,248.783,98.322,,3.624
12.557,4.967,44.518,,,109.633,4.356,4.283,252.679,102.605,,3.885
20.486,9.12,53.638,,,128.458,12.403,12.726,276.205,115.331,,4.417
13.69,7.343,60.981,,,141.958,19.033,21.951,319.578,137.282,,4.624
11.893,7.253,68.234,,,154.48,1.963,2.695,316.904,139.977,,4.903
42.7,29.136,97.37,,,214.253,33.372,46.713,410.793,186.69,,6.738
52.863,51.473,148.843,,,318.056,51.765,96.64,605.437,283.33,,9.454
25.578,38.071,186.914,,,388.156,-12.362,-35.027,515.641,248.303,,11.046
22.244,41.577,228.491,,,460.988,6.623,16.445,534.137,264.748,,12.033
7.984,18.242,246.734,,,483.279,22.801,60.365,636.801,325.113,,12.192
9.947,24.542,271.275,,,516.385,34.402,111.844,831.767,436.957,,13.019
-4.192,-11.373,259.903,,,481.138,4.965,21.694,849.065,458.651,,12.098
7.287,18.94,278.843,50.259,27.927,501.829,10.253,47.027,910.061,505.678,10.783,12.473
12.347,34.428,313.271,49.592,28.349,548.015,4.838,24.465,927.396,530.143,10.495,13.732
3.228,10.113,323.384,53.707,31.584,549.899,9.212,48.835,984.523,578.978,11.27,13.733
10.842,35.06,358.445,56.259,34.009,592.949,6.659,38.554,1021.539,617.532,11.517,14.221
3.634,13.027,371.471,59.467,36.939,598.02,9.696,59.876,1090.539,677.408,12.046,14.715
7.315,27.174,398.645,66.827,42.646,624.682,6.522,44.183,1130.74,721.591,13.378,15.287
0.75,2.99,401.636,69.632,45.611,613.146,7.187,51.861,1180.769,773.452,14.041,15.419
4.889,19.635,421.27,75.223,50.545,626.954,4.503,34.831,1202.924,808.283,15.416,15.932
-2.048,-8.626,412.644,80.003,55.133,598.781,3.108,25.124,1209.343,833.407,16.26,15.563
4.649,19.184,431.828,87.902,62.102,611.231,-5.251,-43.76,1117.706,789.646,17.676,15.756
6.812,29.416,461.243,91.552,66.314,636.785,10.519,83.059,1204.841,872.705,18.283,16.175
4.975,22.948,484.192,94.231,69.992,651.877,6.946,60.62,1256.555,933.325,18.315,16.558
-2.007,-9.716,474.476,99.635,75.844,623.305,11.602,108.286,1368.336,1041.611,18.919,15.889
5.24,24.861,499.337,99.153,77.33,640.251,6.5,67.705,1422.368,1109.316,19.025,16.467
0.938,4.683,504.02,107.734,86.09,630.734,9.682,107.409,1522.621,1216.726,20.567,16.127
10.476,52.803,556.822,109.542,89.71,679.92,11.037,134.287,1649.684,1351.012,21.332,17.424
13.975,77.814,634.636,114.811,96.38,756.001,2.768,37.401,1653.928,1388.413,22.042,19.174
5.673,36.0,670.636,130.558,112.36,779.255,4.387,60.906,1684.057,1449.319,24.302,20.002
6.099,40.9,711.536,135.037,119.15,806.411,7.373,106.862,1763.679,1556.181,24.556,20.244
10.058,71.57,783.106,148.655,134.5,865.519,5.112,79.552,1807.876,1635.733,26.103,20.749
3.182,24.922,808.028,154.877,143.71,870.815,3.965,64.858,1832.735,1700.592,26.829,21.346
4.421,35.72,843.748,162.923,155.06,886.531,8.282,140.85,1934.815,1841.442,27.795,21.866
6.716,56.667,900.415,170.012,166.01,922.12,6.263,115.325,2003.936,1956.767,28.461,22.479
3.897,35.088,935.503,172.768,173.11,933.653,3.667,71.755,2024.51,2028.522,29.204,22.037
0.613,5.736,941.238,172.914,177.79,915.423,-5.696,-115.547,1860.508,1912.975,29.856,21.805
4.269,40.181,981.42,209.527,221.1,930.05,5.316,101.687,1909.21,2014.662,33.343,22.051
8.169,80.174,1061.593,208.76,226.02,980.527,-0.453,-9.132,1852.382,2005.53,33.745,23.663
8.114,86.142,1147.735,222.183,246.8,1033.253,3.053,61.228,1860.607,2066.758,35.492,24.601
