hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy
7.459,15.046,237.576,96.752,81.22,283.009,18.575,7.178
5.141,10.602,248.178,96.919,83.41,288.374,18.041,7.402
-2.884,-8.702,239.477,92.571,81.68,271.408,16.834,6.813
5.625,11.86,251.336,95.647,86.54,277.787,16.795,6.659
1.855,3.043,254.379,95.538,88.65,274.145,16.55,6.72
3.615,7.538,261.918,96.507,91.85,275.199,16.464,6.788
3.421,7.268,269.185,96.184,93.92,275.674,16.102,6.72
1.858,3.298,272.483,95.371,95.56,271.945,16.121,6.419
2.675,5.562,278.046,95.905,98.61,270.42,16.559,6.441
8.155,20.829,298.874,103.768,109.5,283.23,16.513,6.715
2.834,6.597,305.471,102.127,110.57,282.145,16.508,6.809
0.43,-0.545,304.926,100.054,111.14,274.511,15.983,6.536
5.664,15.329,320.256,102.08,116.39,280.881,16.326,6.677
5.672,16.138,336.394,103.973,121.68,287.443,16.47,6.826
-3.098,-12.362,324.032,99.35,119.33,269.778,15.679,6.417
-2.915,-11.307,312.725,96.193,118.52,253.812,15.412,6.035
7.238,20.663,333.388,98.976,125.04,263.895,15.648,6.272
6.814,20.635,354.023,102.62,132.92,273.321,16.309,6.515
3.41,10.724,364.746,102.064,135.51,274.72,16.375,6.56
6.852,23.562,388.309,104.521,142.22,285.379,17.612,7.373
3.043,10.353,398.662,104.199,145.22,286.051,17.302,7.103
2.866,9.931,408.593,109.846,156.721,286.383,17.555,7.262
,,41.119,,13.906,,,5.74
11.538,4.744,45.863,,15.51,,,6.114
4.388,2.013,47.876,,16.191,,,6.317
16.971,8.125,56.0,,18.938,,,6.995
16.699,9.352,65.352,,22.101,,,7.944
25.02,16.351,81.703,,27.63,,,9.149
-5.852,-4.782,76.921,,26.013,,,8.07
13.915,10.704,87.625,,29.633,,,8.695
5.779,5.064,92.689,,31.346,,,8.492
13.786,12.778,105.467,,35.667,,,9.204
5.75,6.064,111.532,,37.718,,,9.184
10.816,12.064,123.595,,41.798,,,9.372
9.884,12.216,135.811,,45.929,,,9.76
0.823,1.118,136.929,,46.307,,,9.475
7.036,9.635,146.564,,49.565,,,9.309
-2.529,-3.706,142.857,,48.312,,,8.442
3.894,5.562,148.42,,50.193,,,7.816
0.027,0.039,148.459,,50.206,,,7.336
-9.877,-14.664,133.795,,45.247,,,6.421
-1.673,-2.239,131.556,,44.49,,,6.124
11.148,14.666,146.222,,49.45,,19.094,6.541
3.429,5.014,151.236,,51.145,,18.935,6.629
-4.084,-6.177,145.059,,49.056,,17.504,6.16
9.249,13.416,158.475,,53.593,,18.149,6.287
5.006,7.933,166.408,,56.276,,18.352,6.592
1.739,2.893,169.301,,57.255,,17.961,6.492
5.933,10.044,179.346,,60.651,,18.671,6.885
-4.602,-8.254,171.092,,57.86,,17.647,6.471
-2.036,-3.483,167.61,,56.683,,16.717,6.322
1.612,2.701,170.311,,57.596,,16.394,6.214
3.773,6.425,176.736,,59.769,,16.478,6.198
4.262,7.533,184.269,,62.316,,16.306,6.301
2.465,4.542,188.811,,63.852,,15.927,6.323
4.389,8.287,197.098,,66.655,,16.399,6.5
6.045,11.915,209.013,,70.684,,16.886,6.688
6.468,13.518,222.531,,75.256,,17.096,6.963
7.459,15.046,237.576,,80.869,,17.614,7.178
5.141,10.602,248.178,,85.026,,17.438,7.402
-2.884,-8.702,239.477,,82.575,,16.221,6.813
5.625,11.86,251.336,,87.219,,16.128,6.659
1.855,3.043,254.379,,88.838,,15.852,6.72
3.615,7.538,261.918,,92.049,,15.704,6.788
3.421,7.268,269.185,,95.199,,15.589,6.72
1.858,3.298,272.483,,96.967,,15.551,6.419
2.675,5.562,278.046,,99.561,,15.801,6.441
8.155,20.829,298.874,,107.68,,16.007,6.715
2.834,6.597,305.471,,110.732,,16.081,6.809
0.43,-0.545,304.926,,111.208,,15.39,6.536
5.664,15.329,320.256,,117.507,,15.762,6.677
5.672,16.138,336.394,,124.172,,16.125,6.826
-3.098,-12.362,324.032,,120.325,,15.231,6.417
-2.915,-11.307,312.725,,116.818,,14.61,6.035
7.238,20.663,333.388,,125.273,,15.161,6.272
6.814,20.635,354.023,,133.809,,15.758,6.515
3.41,10.724,364.746,,138.373,,15.955,6.56
6.852,23.562,388.309,,147.855,,17.348,7.373
3.043,10.353,398.662,,152.354,,16.986,7.103
2.866,9.931,408.593,,156.721,,17.555,7.262
,,,,74.52,,17.72,
,,,,81.22,,18.575,
,,,,83.41,,18.041,
,,,,81.68,,16.834,
,,,,86.54,,16.795,
,,,,88.65,,16.55,
,,,,91.85,,16.464,
,,,,93.92,,16.102,
,,,,95.56,,16.121,
,,,,98.61,,16.559,
,,,,109.5,,16.513,
,,,,110.57,,16.508,
,,,,111.14,,15.983,
,,,,116.39,,16.326,
,,,,121.68,,16.47,
,,,,119.33,,15.679,
,,,,118.52,,15.412,
,,,,125.04,,15.648,
,,,,132.92,,16.309,
,,,,135.51,,16.375,
,,,,142.22,,17.612,
,,,,145.22,,17.302,
,,,,163.01,,18.201,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
