nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy
11.867,3.368,33.586,13.932,11.99,39.025,2.593,1.002
5.604,1.655,35.24,14.348,12.66,39.939,2.609,1.003
5.545,1.717,36.958,15.783,14.28,40.847,2.771,0.979
-15.507,-5.928,31.029,13.191,12.24,33.44,2.285,0.82
-11.217,-3.654,27.375,10.581,10.07,28.763,1.805,0.709
12.877,3.332,30.707,12.904,12.6,31.447,2.16,0.767
14.907,4.358,35.066,12.725,12.75,34.996,2.151,0.826
-1.523,-0.747,34.318,11.253,11.57,33.377,1.943,0.795
5.63,1.71,36.028,12.225,12.9,34.142,1.945,0.809
-4.62,-1.874,34.154,11.952,12.94,31.546,1.932,0.761
0.507,-0.035,34.119,11.163,12.4,30.716,1.783,0.731
8.78,2.772,36.891,11.937,13.61,32.356,1.909,0.769
-2.212,-1.032,35.859,12.612,14.76,30.641,1.998,0.728
-11.288,-4.237,31.622,9.133,10.97,26.328,1.441,0.626
22.792,6.977,38.6,12.345,15.21,31.328,1.978,0.745
-5.544,-2.354,36.246,11.945,15.09,28.69,1.888,0.682
-18.41,-6.846,29.4,8.153,10.56,22.698,1.296,0.541
14.439,4.121,33.521,10.243,13.6,25.247,1.643,0.603
-25.272,-8.563,24.957,8.54,11.62,18.342,1.439,0.474
24.76,6.066,31.023,8.718,12.15,22.26,1.448,0.553
-18.252,-5.755,25.268,7.079,10.1,17.71,1.131,0.449
,,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,0.0,0.0,,0.0,,,0.0
,11.137,11.137,,3.925,,,0.518
35.414,3.944,15.081,,5.315,,2.052,0.675
65.626,9.897,24.979,,8.803,,3.259,1.095
-29.944,-7.48,17.499,,6.167,,2.2,0.743
70.148,12.275,29.774,,10.493,,3.553,1.181
5.775,1.72,31.494,,11.099,,3.619,1.248
-23.876,-7.519,23.974,,8.449,,2.65,0.919
8.226,1.972,25.946,,9.144,,2.815,0.996
1.575,0.409,26.355,,9.288,,2.833,0.997
-21.888,-5.769,20.586,,7.255,,2.14,0.776
33.66,6.929,27.515,,9.697,,2.76,1.004
16.541,4.551,32.067,,11.301,,3.116,1.125
4.194,1.345,33.412,,11.775,,3.081,1.143
7.406,2.474,35.886,,12.647,,3.155,1.202
7.543,2.707,38.593,,13.601,,3.346,1.273
-5.617,-2.168,36.425,,12.837,,3.067,1.165
1.348,0.491,36.916,,13.01,,2.956,1.155
-17.61,-6.698,30.218,,10.719,,2.335,0.913
11.867,3.368,33.586,,11.991,,2.459,1.002
5.604,1.655,35.24,,12.663,,2.488,1.003
5.545,1.717,36.958,,13.365,,2.471,0.979
-15.507,-5.928,31.029,,11.293,,2.015,0.82
-11.217,-3.654,27.375,,10.026,,1.71,0.709
12.877,3.332,30.707,,11.317,,1.853,0.767
14.907,4.358,35.066,,13.004,,2.086,0.826
-1.523,-0.747,34.318,,12.806,,2.032,0.795
5.63,1.71,36.028,,13.527,,2.011,0.809
-4.62,-1.874,34.154,,12.902,,1.874,0.761
0.507,-0.035,34.119,,12.967,,1.795,0.731
8.78,2.772,36.891,,14.106,,1.892,0.769
-2.212,-1.032,35.859,,13.794,,1.791,0.728
-11.288,-4.237,31.622,,12.237,,1.549,0.626
22.792,6.977,38.6,,15.026,,1.879,0.745
-5.544,-2.354,36.246,,14.193,,1.718,0.682
-18.41,-6.846,29.4,,11.58,,1.364,0.541
14.439,4.121,33.521,,13.252,,1.528,0.603
-25.272,-8.563,24.957,,9.903,,1.162,0.474
24.76,6.066,31.023,,12.355,,1.377,0.553
-18.252,-5.755,25.268,,10.1,,1.131,0.449
,,,,13.01,,3.094,
,,,,10.72,,2.452,
,,,,11.99,,2.593,
,,,,12.66,,2.609,
,,,,14.28,,2.771,
,,,,12.24,,2.285,
,,,,10.07,,1.805,
,,,,12.6,,2.16,
,,,,12.75,,2.151,
,,,,11.57,,1.943,
,,,,12.9,,1.945,
,,,,12.94,,1.932,
,,,,12.4,,1.783,
,,,,13.61,,1.909,
,,,,14.76,,1.998,
,,,,10.97,,1.441,
,,,,15.21,,1.978,
,,,,15.09,,1.888,
,,,,10.56,,1.296,
,,,,13.6,,1.643,
,,,,11.62,,1.439,
,,,,12.15,,1.448,
,,,,10.07,,1.124,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
