renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy
5.538,11.06,257.338,100.452,86.45,299.018,18.698,7.675
-2.222,-7.457,249.881,96.424,85.08,283.2,17.535,7.109
6.181,13.679,263.56,100.09,90.56,291.297,17.575,6.983
1.19,2.59,266.151,100.604,93.35,286.832,17.427,7.031
4.393,10.183,276.333,101.32,96.43,290.345,17.285,7.161
3.524,6.462,282.796,101.089,98.71,289.613,16.923,7.06
2.028,4.36,287.156,100.531,100.73,286.588,16.993,6.764
2.859,6.91,294.066,101.848,104.72,286.0,17.585,6.812
8.552,23.453,317.519,110.667,116.78,300.899,17.611,7.134
3.524,8.791,326.31,109.155,118.18,301.392,17.645,7.273
1.06,1.364,327.673,106.761,118.59,294.989,17.054,7.023
6.305,18.681,346.355,110.088,125.52,303.772,17.606,7.222
8.052,25.542,371.897,116.099,135.87,317.779,18.39,7.547
2.509,6.689,378.586,116.526,139.96,315.197,18.389,7.497
0.366,-0.616,377.97,115.728,142.59,306.766,18.542,7.294
9.212,32.571,410.541,120.412,152.12,324.966,19.036,7.723
7.799,28.83,439.371,128.398,166.31,339.213,20.406,8.086
7.107,29.933,469.304,133.283,176.96,353.471,21.384,8.441
7.372,32.693,501.998,134.492,183.0,368.932,22.662,9.531
5.768,26.697,528.695,137.851,192.12,379.353,22.89,9.42
3.137,14.64,543.335,145.426,207.484,380.824,23.241,9.656
,,41.119,,,,,5.74
11.538,4.744,45.863,,,,,6.114
4.388,2.013,47.876,,,,,6.317
16.971,8.125,56.0,,,,,6.995
16.699,9.352,65.352,,,,,7.944
25.02,16.351,81.703,,,,,9.149
-5.259,-4.258,77.445,,26.177,,,8.125
13.832,10.707,88.152,,29.798,,,8.747
5.764,5.08,93.232,,31.516,,,8.542
13.728,12.794,106.026,,35.842,,,9.252
5.714,6.055,112.081,,37.89,,,9.229
10.801,12.105,124.186,,41.983,,,9.416
9.85,12.228,136.414,,46.118,,,9.803
0.833,1.137,137.552,,46.502,,,9.518
7.02,9.654,147.205,,49.766,,,9.35
-2.507,-3.687,143.518,,48.519,,,8.481
3.9,5.598,149.116,,50.411,,,7.853
0.062,0.097,149.213,,50.442,,,7.373
-9.843,-14.683,134.53,,45.477,,,6.456
-1.656,-2.226,132.303,,44.724,,,6.159
11.168,14.778,147.081,,49.719,,19.197,6.579
4.195,6.129,153.209,,51.804,,19.179,6.716
-4.034,-6.177,147.033,,49.714,,17.739,6.244
9.062,13.326,160.359,,54.219,,18.361,6.362
4.931,7.904,168.263,,56.893,,18.553,6.665
2.052,3.495,171.758,,58.06,,18.214,6.586
5.878,10.106,181.864,,61.473,,18.924,6.982
-4.488,-8.142,173.722,,58.714,,17.908,6.57
-1.84,-3.172,170.55,,57.634,,16.997,6.432
1.413,2.388,172.937,,58.448,,16.636,6.31
4.03,6.962,179.899,,60.804,,16.764,6.309
4.585,8.299,188.198,,63.591,,16.64,6.436
2.618,4.962,193.16,,65.256,,16.277,6.468
4.797,9.317,202.477,,68.387,,16.825,6.677
5.889,11.909,214.386,,72.414,,17.299,6.86
7.379,15.931,230.317,,77.757,,17.664,7.207
7.624,15.961,246.278,,83.686,,18.227,7.441
5.538,11.06,257.338,,87.829,,18.013,7.675
-2.222,-7.457,249.881,,85.816,,16.858,7.109
6.181,13.679,263.56,,91.059,,16.838,6.983
1.19,2.59,266.151,,92.731,,16.546,7.031
4.393,10.183,276.333,,96.791,,16.513,7.161
3.524,6.462,282.796,,99.485,,16.291,7.06
2.028,4.36,287.156,,101.699,,16.31,6.764
2.859,6.91,294.066,,104.894,,16.647,6.812
8.552,23.453,317.519,,114.023,,16.95,7.134
3.524,8.791,326.31,,117.756,,17.101,7.273
1.06,1.364,327.673,,118.907,,16.455,7.023
6.305,18.681,346.355,,126.461,,16.963,7.222
8.052,25.542,371.897,,136.711,,17.753,7.547
2.509,6.689,378.586,,140.01,,17.723,7.497
0.366,-0.616,377.97,,140.59,,17.583,7.294
9.212,32.571,410.541,,153.615,,18.592,7.723
7.799,28.83,439.371,,165.294,,19.466,8.086
7.107,29.933,469.304,,177.246,,20.437,8.441
7.372,32.693,501.998,,190.359,,22.335,9.531
5.768,26.697,528.695,,201.152,,22.427,9.42
3.137,14.64,543.335,,207.484,,23.241,9.656
,,,,77.38,,18.4,
,,,,84.33,,19.286,
,,,,86.45,,18.698,
,,,,85.08,,17.535,
,,,,90.56,,17.575,
,,,,93.35,,17.427,
,,,,96.43,,17.285,
,,,,98.71,,16.923,
,,,,100.73,,16.993,
,,,,104.72,,17.585,
,,,,116.78,,17.611,
,,,,118.18,,17.645,
,,,,118.59,,17.054,
,,,,125.52,,17.606,
,,,,135.87,,18.39,
,,,,139.96,,18.389,
,,,,142.59,,18.542,
,,,,152.12,,19.036,
,,,,166.31,,20.406,
,,,,176.96,,21.384,
,,,,183.0,,22.662,
,,,,192.12,,22.89,
,,,,213.44,,23.832,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
